code,constituency,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,round,last_updated_time,last_updated_date,party_full_name,party_short,rank_in_constituency,winner_votes,runner_up_votes,winning_margin_votes,winning_margin_percentage
S2258,PENNAGARAM - 58,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,80473,767,81240,35.53,23/23,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,81240,78075,3165,3.8958641063515507
S22147,PERAMBALUR - 147,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,89776,1106,90882,35.83,28/28,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,90882,76489,14393,15.837019431790674
S2212,PERAMBUR - 12,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,119785,580,120365,58.89,23/23,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,120365,66650,53715,44.62676027084285
S22177,PERAVURANI - 177,ASHOKKUMAR. N,Dravida Munnetra Kazhagam,60262,657,60919,34.56,21/21,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,60919,57757,3162,5.190498859140826
S22199,PERIYAKULAM - 199,SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,84822,834,85656,40.56,26/26,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,85656,66335,19321,22.556505090127953
S22103,PERUNDURAI - 103,JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,69408,894,70302,35.03,22/22,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,70302,60609,9693,13.787658957070922
S22123,POLLACHI - 123,K. NITHYANANDHAN,Dravida Munnetra Kazhagam,61347,666,62013,34.22,22/22,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,62013,57386,4627,7.461338751552093
S2266,POLUR - 66,ABISHEK. R,Tamilaga Vettri Kazhagam,67203,758,67961,32.1,22/22,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,67961,67734,227,0.33401509689380676
S222,PONNERI - 2,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,110051,388,110439,48.69,26/26,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,110439,54671,55768,50.49665426162859
S22162,POOMPUHAR - 162,NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,80554,542,81096,36.98,25/25,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,81096,72836,8260,10.185459208838907
